------Authors-----

vertex_id,DBLP_id,name

0,6,José A. Blakeley
1,7,Yuri Breitbart
2,8,Hector Garcia-Molina
3,9,Abraham Silberschatz
4,10,Stavros Christodoulakis
5,12,Umeshwar Dayal
6,14,Jennifer Widom
7,16,Klaus R. Dittrich
8,17,Meichun Hsu
9,22,Won Kim
10,25,Alfons Kemper
11,26,Guido Moerkotte
12,34,Weiyi Meng
13,35,Clement T. Yu
14,37,Edward Omiecinski
15,38,M. Tamer Özsu
16,39,Marek Rusinkiewicz
17,40,Amit P. Sheth
18,41,Hanan Samet
19,42,Walid G. Aref
20,43,Ming-Chien Shan
21,47,Richard T. Snodgrass
22,51,Marc Rettig
23,57,David Maier
24,64,Michael J. Carey
25,65,David J. DeWitt
26,67,Eugene J. Shekita
27,77,Waqar Hasan
28,83,Tore Risch
29,87,Darrell Woelk
30,90,Roger King
31,97,Dennis Tsichritzis
32,100,Stanley B. Zdonik
33,102,Henry Lieberman
34,109,Frederick H. Lochovsky
35,111,Michael Stonebraker
36,113,Serge Abiteboul
37,114,Richard Hull
38,115,Victor Vianu
39,119,Jeffrey D. Ullman
40,122,Michael Kifer
41,133,Ricardo A. Baeza-Yates
42,134,Berthier A. Ribeiro-Neto
43,136,Philip A. Bernstein
44,139,Elisa Bertino
45,140,Barbara Catania
46,145,Ivan Bratko
47,146,Silvana Castano
48,149,Pierangela Samarati
49,152,Stefano Ceri
50,153,Piero Fraternali
51,155,Pang-Ning Tan
52,156,Michael Steinbach
53,157,Vipin Kumar
54,159,Gottfried Vossen
55,179,Georges Gardarin
56,180,Patrick Valduriez
57,196,Heikki Mannila
58,201,Michael Rabinovich
59,202,Oliver Spatscheck
60,203,Erhard Rahm
61,207,Jan Chomicki
62,211,Alexander Tuzhilin
63,212,Ramez Elmasri
64,218,Christian S. Jensen
65,219,Leo Mark
66,222,Richard R. Muntz
67,223,David B. Lomet
68,224,Betty Salzberg
69,225,Nikos A. Lorentzos
70,227,Barbara Pernici
71,228,Shamkant B. Navathe
72,230,Arie Segev
73,231,Arie Shoshani
74,233,Gio Wiederhold
75,234,Sushil Jajodia
76,235,Witold Litwin
77,236,Paolo Atzeni
78,244,George Karypis
79,255,Daniel A. Keim
80,260,Peter Widmayer
81,268,Theo Härder
82,277,Alok N. Choudhary
83,447,Hans-Arno Jacobsen
84,488,Torben Bach Pedersen
85,526,Raghu Ramakrishnan
86,536,Gerald DeJong
87,537,Thomas Dean
88,538,Subbarao Kambhampati
89,540,Peter J. Denning
90,556,Kenneth D. Forbus
91,558,Michael J. Franklin
92,575,Yannis E. Ioannidis
93,577,Tao Jiang
94,578,Ming Li
95,582,Michael I. Jordan
96,599,James J. Lu
97,605,Rajeev Motwani
98,606,Prabhakar Raghavan
99,609,Peter G. Neumann
100,626,Henry F. Korth
101,627,S. Sudarshan
102,636,Patrick E. O'Neil
103,637,Judea Pearl
104,639,J. Ross Quinlan
105,648,Dennis Shasha
106,666,Christos H. Papadimitriou
107,672,Gerhard Brewka
108,696,Sean R. Eddy
109,697,Anders Krogh
110,749,Sven Helmer
111,759,Georg Lausen
112,762,Kai-Uwe Sattler
113,764,Gunter Saake
114,765,Harald Schöning
115,769,Gerhard Weikum
116,778,Ulf Leser
117,779,Felix Naumann
118,790,Maurice Bruynooghe
119,825,W. A. Gray
120,839,Norman W. Paton
121,841,Kotagiri Ramamohanarao
122,842,John Shepherd
123,847,Justin Zobel
124,867,Franz Baader
125,881,Diego Calvanese
126,882,Giuseppe De Giacomo
127,883,Maurizio Lenzerini
128,908,Maarten de Rijke
129,911,I. V. Ramakrishnan
130,919,Enrico Nardelli
131,929,Dario Maio
132,930,Claudio Sartori
133,932,Salvatore Orlando
134,933,Pasquale Rullo
135,934,Domenico Saccà
136,945,Wolfram Burgard
137,950,Andrea Omicini
138,995,Thomas Lengauer
139,1013,Jeffrey Scott Vitter
140,1091,Jean-Gabriel Ganascia
141,1094,Gerhard Widmer
142,1106,Yangjun Chen
143,1111,Gianluigi Greco
144,1112,Sergio Greco
145,1125,Altigran Soares da Silva
146,1126,Pável Calado
147,1128,Alberto H. F. Laender
148,1130,David Taniar
149,1131,J. Wenny Rahayu
150,1137,Mario Piattini
151,1194,Chin-Chen Chang
152,1209,Jae-Woo Chang
153,1211,Damianos Chatziantoniou
154,1213,Grigoris Antoniou
155,1214,Vassilis Christophides
156,1215,Dimitris Plexousakis
157,1226,Xiaohui Liu
158,1232,Bin Zhang
159,1377,Schahram Dustdar
160,1440,Paul H. Leng
161,1465,Ramzi A. Haraty
162,1518,Paul Johannesson
163,1545,Yannis Manolopoulos
164,1598,Hong Va Leong
165,1612,Xue Li
166,1657,Alexandros Nanopoulos
167,1659,Tadeusz Morzy
168,1691,Alex Alves Freitas
169,1696,Letizia Tanca
170,1717,Maurizio Rafanelli
171,1741,Sanjay Kumar Madria
172,1742,Mukesh K. Mohania
173,1758,Mirek Riedewald
174,1759,Divyakant Agrawal
175,1760,Amr El Abbadi
176,1820,Joseph A. Konstan
177,1821,John Riedl
178,1953,Thomas S. Huang
179,1990,José Hernández-Orallo
180,1995,Reda Alhajj
181,1996,Faruk Polat
182,1997,Zakaria Maamar
183,2015,Kjetil Nørvåg
184,2016,Peter Baumann
185,2030,William Perrizo
186,2039,Alejandro P. Buchmann
187,2050,Sophie Cluet
188,2057,Shi-Kuo Chang
189,2060,Stefan Manegold
190,2061,Martin L. Kersten
191,2064,Yong Shi
192,2067,Reynold Cheng
193,2068,Sunil Prabhakar
194,2074,Cyrus Shahabi
195,2078,Alkis Simitsis
196,2079,Panos Vassiliadis
197,2080,Timos K. Sellis
198,2088,Ioannis P. Vlahavas
199,2089,Heiner Stuckenschmidt
200,2106,Sergio Flesca
201,2107,Filippo Furfaro
202,2131,Apostolos N. Papadopoulos
203,2132,Georgia Koutrika
204,2137,Murali Mani
205,2141,Philippe Rigaux
206,2142,Margaret H. Dunham
207,2147,Hans-Peter Kriegel
208,2148,Martin Pfeifle
209,2150,Thomas Seidl
210,2153,Claudia Bauzer Medeiros
211,2154,Nikos Mamoulis
212,2155,Yannis Theodoridis
213,2156,Dimitris Papadias
214,2164,Michail Vlachos
215,2165,Marios Hadjieleftheriou
216,2166,Eamonn J. Keogh
217,2167,Dimitrios Gunopulos
218,2169,Wynne Hsu
219,2170,Mong-Li Lee
220,2171,Ouri Wolfson
221,2174,Andrea Calì
222,2175,Domenico Lembo
223,2176,Riccardo Rosati
224,2177,Curtis E. Dyreson
225,2179,Alberto O. Mendelzon
226,2180,Alejandro A. Vaisman
227,2181,Stefano Paraboschi
228,2183,Elena Baralis
229,2184,Ernest Teniente
230,2185,Riccardo Torlone
231,2194,Peter Z. Revesz
232,2215,Keng Siau
233,2217,Robert Winter
234,2257,Il-Yeol Song
235,2270,Hyoung-Joo Kim
236,2275,Chiang Lee
237,2276,Latifur Khan
238,2278,Dennis McLeod
239,2279,Ling Liu
240,2280,Calton Pu
241,2285,Wilfred Ng
242,2286,Mark Levene
243,2333,Colette Rolland
244,2342,Nick Bassiliades
245,2344,Athman Bouguettaya
246,2346,Mourad Ouzzani
247,2348,Elena Ferrari
248,2356,Zahir Tari
249,2366,Bertram Ludäscher
250,2437,Martin Staudt
251,2477,Longin Jan Latecki
252,2480,Volker Markl
253,2483,Byoung-Tak Zhang
254,2528,Lois M. L. Delcambre
255,2530,Jérôme Euzenat
256,2534,Alexandra Poulovassilis
257,2536,Gerhard Friedrich
258,2538,Markus Stumptner
259,2541,Dongwon Lee
260,2542,Wesley W. Chu
261,2551,Gustavo Alonso
262,2552,C. Mohan
263,2554,Indrakshi Ray
264,2556,Sharma Chakravarthy
265,2558,Roger S. Barga
266,2562,Abdelsalam Helal
267,2565,Ahmed K. Elmagarmid
268,2573,Krithi Ramamritham
269,2577,Jayavel Shanmugasundaram
270,2585,Anthony Hunter
271,2587,Patrick Bosc
272,2588,Henri Prade
273,2592,David Heckerman
274,2595,Doron Rotem
275,2597,Gregory Piatetsky-Shapiro
276,2599,Rudolf Kruse
277,2601,W. Bruce Croft
278,2602,Esteban Zimányi
279,2608,Soon Myoung Chung
280,2610,Elke A. Rundensteiner
281,2617,Sukho Lee
282,2623,Michalis Vazirgiannis
